type,sampling,date,distance_m,elevation_m
restoration,1,2016-12-16,0,3.28
restoration,1,2016-12-16,5,3.18
restoration,1,2016-12-16,10,3.18
restoration,1,2016-12-16,15,3.16
restoration,1,2016-12-16,20,3.16
restoration,1,2016-12-16,25,3.16
restoration,1,2016-12-16,30,3.19
restoration,1,2016-12-16,35,3.2
restoration,1,2016-12-16,40,3.22
restoration,1,2016-12-16,45,3.2
restoration,1,2016-12-16,50,3.24
restoration,1,2016-12-16,55,3.12
restoration,1,2016-12-16,55.7,3.05
restoration,1,2016-12-16,60.7,2.41
restoration,1,2016-12-16,65.7,1.57
restoration,1,2016-12-16,70.7,1.03
restoration,1,2016-12-16,75.7,0.65
restoration,1,2016-12-16,80.7,0.41
restoration,2,2017-03-24,0,3.28
restoration,2,2017-03-24,3,3.28
restoration,2,2017-03-24,6,3.26
restoration,2,2017-03-24,9,3.24
restoration,2,2017-03-24,12,3.24
restoration,2,2017-03-24,15,3.26
restoration,2,2017-03-24,18,3.28
restoration,2,2017-03-24,21,3.3
restoration,2,2017-03-24,24,3.34
restoration,2,2017-03-24,27,3.38
restoration,2,2017-03-24,30,3.42
restoration,2,2017-03-24,33,3.48
restoration,2,2017-03-24,36,3.52
restoration,2,2017-03-24,39,3.58
restoration,2,2017-03-24,42,3.62
restoration,2,2017-03-24,45,3.64
restoration,2,2017-03-24,48,3.66
restoration,2,2017-03-24,51,3.7
restoration,2,2017-03-24,54,3.4
restoration,2,2017-03-24,57,3.1
restoration,2,2017-03-24,60,2.56
restoration,2,2017-03-24,63,2.08
restoration,2,2017-03-24,66,1.72
restoration,2,2017-03-24,69,1.46
restoration,2,2017-03-24,72,1.22
restoration,3,2018-02-13,0,3.591
restoration,3,2018-02-13,3,3.451
restoration,3,2018-02-13,6,3.411
restoration,3,2018-02-13,9,3.371
restoration,3,2018-02-13,12,3.321
restoration,3,2018-02-13,15,3.311
restoration,3,2018-02-13,18,3.291
restoration,3,2018-02-13,21,3.281
restoration,3,2018-02-13,24,3.281
restoration,3,2018-02-13,27,3.281
restoration,3,2018-02-13,30,3.291
restoration,3,2018-02-13,33,3.301
restoration,3,2018-02-13,36,3.311
restoration,3,2018-02-13,39,3.331
restoration,3,2018-02-13,42,3.341
restoration,3,2018-02-13,45,3.351
restoration,3,2018-02-13,48,3.331
restoration,3,2018-02-13,51,3.301
restoration,3,2018-02-13,54,3.131
restoration,3,2018-02-13,57,3.121
restoration,3,2018-02-13,60,2.761
restoration,3,2018-02-13,63,2.181
restoration,3,2018-02-13,66,1.601
restoration,4,2018-12-14,0,4.26
restoration,4,2018-12-14,3,4.05
restoration,4,2018-12-14,6,3.97
restoration,4,2018-12-14,9,3.93
restoration,4,2018-12-14,12,3.9
restoration,4,2018-12-14,15,3.88
restoration,4,2018-12-14,18,3.88
restoration,4,2018-12-14,21,3.86
restoration,4,2018-12-14,24,3.87
restoration,4,2018-12-14,27,3.87
restoration,4,2018-12-14,30,3.86
restoration,4,2018-12-14,33,3.87
restoration,4,2018-12-14,36,3.87
restoration,4,2018-12-14,39,3.94
restoration,4,2018-12-14,42,3.88
restoration,4,2018-12-14,45,3.86
restoration,4,2018-12-14,48,3.85
restoration,4,2018-12-14,51,3.82
restoration,4,2018-12-14,54,3.85
restoration,4,2018-12-14,57,3.79
restoration,4,2018-12-14,60,3.07
restoration,4,2018-12-14,63,2.4
restoration,4,2018-12-14,66,1.87
restoration,4,2018-12-14,69,1.45
restoration,5,2019-11-06,0,4.436
restoration,5,2019-11-06,3,4.046
restoration,5,2019-11-06,6,3.936
restoration,5,2019-11-06,9,3.886
restoration,5,2019-11-06,12,3.846
restoration,5,2019-11-06,15,3.826
restoration,5,2019-11-06,18,3.826
restoration,5,2019-11-06,21,3.816
restoration,5,2019-11-06,24,3.816
restoration,5,2019-11-06,27,3.846
restoration,5,2019-11-06,30,3.866
restoration,5,2019-11-06,33,3.856
restoration,5,2019-11-06,36,3.806
restoration,5,2019-11-06,39,3.856
restoration,5,2019-11-06,42,3.806
restoration,5,2019-11-06,45,3.776
restoration,5,2019-11-06,48,3.786
restoration,5,2019-11-06,51,3.726
restoration,5,2019-11-06,54,3.396
restoration,5,2019-11-06,57,3.146
restoration,5,2019-11-06,60,2.926
restoration,5,2019-11-06,63,2.606
restoration,5,2019-11-06,66,2.246
restoration,5,2019-11-06,69,1.836
restoration,5,2019-11-06,72,1.566
restoration,5,2019-11-06,75,1.236
restoration,5,2019-11-06,78,0.986
restoration,5,2019-11-06,81,0.826
restoration,6,2020-10-30,0,4.511
restoration,6,2020-10-30,3,4.371
restoration,6,2020-10-30,6,4.291
restoration,6,2020-10-30,9,4.231
restoration,6,2020-10-30,12,4.211
restoration,6,2020-10-30,15,4.161
restoration,6,2020-10-30,18,4.141
restoration,6,2020-10-30,21,4.131
restoration,6,2020-10-30,24,4.141
restoration,6,2020-10-30,27,4.151
restoration,6,2020-10-30,30,4.131
restoration,6,2020-10-30,33,4.091
restoration,6,2020-10-30,36,4.061
restoration,6,2020-10-30,39,4.041
restoration,6,2020-10-30,42,4.081
restoration,6,2020-10-30,45,4.051
restoration,6,2020-10-30,48,4.041
restoration,6,2020-10-30,51,3.731
restoration,6,2020-10-30,54,3.611
restoration,6,2020-10-30,57,3.471
restoration,6,2020-10-30,60,3.321
restoration,6,2020-10-30,63,3.191
restoration,6,2020-10-30,66,2.811
restoration,6,2020-10-30,69,2.381
restoration,6,2020-10-30,72,2.031
restoration,6,2020-10-30,75,1.701
restoration,7,2021-05-21,0,4.773
restoration,7,2021-05-21,3,4.623
restoration,7,2021-05-21,6,4.573
restoration,7,2021-05-21,9,4.523
restoration,7,2021-05-21,12,4.493
restoration,7,2021-05-21,15,4.473
restoration,7,2021-05-21,18,4.453
restoration,7,2021-05-21,21,4.443
restoration,7,2021-05-21,24,4.533
restoration,7,2021-05-21,27,4.133
restoration,7,2021-05-21,30,4.093
restoration,7,2021-05-21,33,4.033
restoration,7,2021-05-21,36,4.003
restoration,7,2021-05-21,39,4.073
restoration,7,2021-05-21,42,3.963
restoration,7,2021-05-21,45,3.913
restoration,7,2021-05-21,48,3.893
restoration,7,2021-05-21,51,3.833
restoration,7,2021-05-21,54,3.593
restoration,7,2021-05-21,57,3.323
restoration,7,2021-05-21,60,3.033
restoration,7,2021-05-21,63,2.923
restoration,7,2021-05-21,66,2.783
restoration,7,2021-05-21,69,2.593
restoration,7,2021-05-21,72,2.043
restoration,7,2021-05-21,75,1.713
restoration,7,2021-05-21,78,1.423
restoration,7,2021-05-21,81,1.143
restoration,7,2021-05-21,84,0.913
restoration,7,2021-05-21,87,0.713
control,1,2016-12-13,0,3.595
control,1,2016-12-13,0,3.595
control,1,2016-12-13,5,3.475
control,1,2016-12-13,10,3.535
control,1,2016-12-13,15,3.535
control,1,2016-12-13,20,3.555
control,1,2016-12-13,25,3.535
control,1,2016-12-13,30,3.575
control,1,2016-12-13,35,3.515
control,1,2016-12-13,40,3.515
control,1,2016-12-13,45,3.495
control,1,2016-12-13,50,3.495
control,1,2016-12-13,54.2,3.595
control,1,2016-12-13,56.4,2.955
control,1,2016-12-13,61,1.795
control,2,2017-03-24,0,3.595
control,2,2017-03-24,3,3.505
control,2,2017-03-24,6,3.435
control,2,2017-03-24,9,3.445
control,2,2017-03-24,12,3.435
control,2,2017-03-24,15,3.475
control,2,2017-03-24,18,3.475
control,2,2017-03-24,21,3.595
control,2,2017-03-24,24,3.575
control,2,2017-03-24,27,3.575
control,2,2017-03-24,30,3.575
control,2,2017-03-24,33,3.655
control,2,2017-03-24,36,3.655
control,2,2017-03-24,39,3.615
control,2,2017-03-24,42,3.595
control,2,2017-03-24,45,3.655
control,2,2017-03-24,48,3.615
control,2,2017-03-24,51,3.475
control,2,2017-03-24,54,3.155
control,2,2017-03-24,57,2.835
control,2,2017-03-24,60,2.375
control,2,2017-03-24,63,1.955
control,3,2018-12-14,0,3.87
control,3,2018-12-14,3,3.84
control,3,2018-12-14,6,3.79
control,3,2018-12-14,9,3.75
control,3,2018-12-14,12,3.74
control,3,2018-12-14,15,3.74
control,3,2018-12-14,18,3.7
control,3,2018-12-14,21,3.69
control,3,2018-12-14,24,3.69
control,3,2018-12-14,27,3.66
control,3,2018-12-14,30,3.65
control,3,2018-12-14,33,3.66
control,3,2018-12-14,36,3.67
control,3,2018-12-14,39,3.68
control,3,2018-12-14,42,3.67
control,3,2018-12-14,45,3.63
control,3,2018-12-14,48,3.58
control,3,2018-12-14,51,3.55
control,3,2018-12-14,54,3.45
