date,species,veg cover_percent,native
12/13/2016,Beach Evening Primrose,0,native
12/13/2016,Beach Bur Sage,0,native
12/13/2016,Beach Saltbush,0,native
12/13/2016,Red Sand Verbena,0,native
12/13/2016,Pink Sand Verbena,0,native
12/13/2016,Woolly Heads,0,native
12/13/2016,Sea Rocket,0,non-native
3/24/2017,Beach Evening Primrose,0.05,native
3/24/2017,Beach Bur Sage,0.14,native
3/24/2017,Beach Saltbush,0,native
3/24/2017,Red Sand Verbena,0,native
3/24/2017,Pink Sand Verbena,0,native
3/24/2017,Woolly Heads,0,native
3/24/2017,Sea Rocket,0.02,non-native
6/21/2017,Beach Evening Primrose,1.26,native
6/21/2017,Beach Bur Sage,1.24,native
6/21/2017,Beach Saltbush,0.29,native
6/21/2017,Red Sand Verbena,0.17,native
6/21/2017,Pink Sand Verbena,0,native
6/21/2017,Woolly Heads,0.08,native
6/21/2017,Sea Rocket,0,non-native
9/20/2017,Beach Evening Primrose,0.75,native
9/20/2017,Beach Bur Sage,0.44,native
9/20/2017,Beach Saltbush,0.46,native
9/20/2017,Red Sand Verbena,0.46,native
9/20/2017,Pink Sand Verbena,0,native
9/20/2017,Woolly Heads,0,native
9/20/2017,Sea Rocket,0,non-native
1/11/2018,Beach Evening Primrose,0.14,native
1/11/2018,Beach Bur Sage,0.06,native
1/11/2018,Beach Saltbush,0.04,native
1/11/2018,Red Sand Verbena,0.04,native
1/11/2018,Pink Sand Verbena,0,native
1/11/2018,Woolly Heads,0,native
1/11/2018,Sea Rocket,0,non-native
5/24/2018,Beach Evening Primrose,1.11,native
5/24/2018,Beach Bur Sage,0.08,native
5/24/2018,Beach Saltbush,0.61,native
5/24/2018,Red Sand Verbena,0.4,native
5/24/2018,Pink Sand Verbena,0,native
5/24/2018,Woolly Heads,0.14,native
5/24/2018,Sea Rocket,0.04,non-native
8/15/2018,Beach Evening Primrose,1.24,native
8/15/2018,Beach Bur Sage,0.22,native
8/15/2018,Beach Saltbush,1.16,native
8/15/2018,Red Sand Verbena,0.7,native
8/15/2018,Pink Sand Verbena,0,native
